ISO Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABW,0.0,0.69317,1.01733,0.96292,0.56917,0.20125,0.36675,0.54975,1.34842,0.6985,0.76508,0.58433,0.7975,0.82875,0.58792,0.55825,0.75267,0.46625,0.62583,1.1425,0.88083,0.4015,0.86383,0.84333,0.21175,0.45475,0.32158,0.96592,0.90308,0.94383,1.13842,0.95975,0.758,1.1985,0.70967,0.39717,0.50083,1.37092,0.86142,0.64608,0.75483,0.85458,1.01025,1.10067,0.99375,1.24792,0.99108,1.27483,1.494,0.70942,0.6395,1.14242,1.36075,1.36117,1.0175,1.28375,1.31617,1.33433,0.96175,1.3435,1.47983,1.02483,1.16383,1.05275
AFG,0.0,0.92425,1.13192,1.60725,0.64783,1.59908,1.14758,-0.26633,1.67325,1.10908,0.94192,1.02142,0.72517,1.98992,0.04142,1.05833,1.2995,0.61975,0.71883,0.76158,1.73958,1.78,-0.49633,1.192,0.27325,0.50458,0.66508,1.76192,1.28617,1.21858,1.84383,1.81658,0.68958,1.57133,1.20233,1.84525,1.17967,1.9405,2.3455,1.08225,1.94983,1.32725,1.01258,1.39575,1.71125,1.81567,1.3825,1.8605,2.089,2.34525,2.45433,2.73458,2.49417,1.8725,2.72742,1.9365,2.55208,2.06267,2.173,2.21425,2.78517,2.4745,1.43808,3.49013
AGO,0.0,0.43033,0.61583,0.153,-0.00483,0.00642,-0.04992,0.41967,0.44842,0.50983,0.35525,0.36692,0.27683,0.26592,0.11458,0.24808,0.53142,0.20458,0.17633,0.61867,0.578,0.26517,0.43917,0.77783,0.05167,0.16708,-0.12442,0.37892,0.24517,0.57292,0.50575,0.45608,0.24817,0.79542,0.78433,0.45,0.46442,1.17808,0.8405,0.55033,0.89458,0.52358,0.92675,0.71917,0.61758,1.36433,0.90742,0.74533,1.54833,0.81025,0.78883,0.93108,1.35367,1.49475,1.001,1.39425,0.37525,0.85525,0.7155,0.74467,1.10967,0.45783,0.5515,0.93604
AIA,0.0,0.42883,0.6005,0.77083,0.39425,0.45858,0.36042,0.62075,0.98808,0.82383,0.87375,0.66942,0.5805,0.78292,0.616,0.29058,0.42525,0.21758,0.34217,0.78283,0.64975,0.287,0.40433,0.74592,0.22542,0.22333,0.18808,0.78192,0.77417,0.53992,0.98567,0.91683,0.56475,0.99725,0.59292,0.57558,0.618,1.11317,0.8715,0.58017,0.83233,0.83092,0.78392,0.897,0.90283,1.28392,0.79042,1.12717,1.47442,1.07817,0.78633,1.14208,1.27183,1.411,1.06758,1.46592,1.36983,1.41867,0.874,1.20217,1.58958,1.26192,1.37283,1.09658
ALB,0.0,-0.243,-0.23892,-1.2265,-1.36275,-0.66475,-1.6405,-0.73442,-0.61833,-1.40725,-0.47775,-0.49608,-0.74408,-0.727,-1.2975,-1.43442,-0.60825,-1.19108,-0.94325,-1.00992,-0.97317,-1.27842,-1.20458,-1.32617,-1.253,-1.24442,-1.77658,-0.58958,-1.54925,-0.82367,-1.65075,-1.23417,-0.79758,-1.30192,-1.17208,-0.86467,-0.75642,-0.81625,-0.76875,-1.009,-0.34417,-1.474,-0.72817,-0.69025,0.28683,-1.03075,-1.07633,-0.91192,-0.50158,-0.15908,-0.06625,-0.12242,-0.25292,-0.18625,-0.55467,-1.06575,-0.83592,0.07767,0.14233,0.03142,-0.03742,-0.36958,-0.04458,1.18104
AND,0.0,-0.83908,-0.15117,-0.341,-0.91,-0.0845,-1.44875,-0.66792,-0.31017,-0.09158,-0.598,0.4495,-0.73267,-1.17583,-0.27092,-0.78608,-0.22725,-0.20508,-0.3755,-0.92717,-0.43542,-0.61983,-1.071,-0.63542,-0.73467,-0.56425,-0.5075,-0.67767,-0.77125,-0.51025,-1.0395,-0.266,0.37317,0.17975,-0.77925,-0.48658,-0.1885,-0.13175,0.16192,0.77308,0.64358,-0.24658,-0.31358,-0.37983,0.82025,0.56442,-0.07058,1.08417,0.30675,0.36667,0.49992,0.40408,0.50758,1.08867,0.231,-0.16858,1.02233,0.34325,0.16658,0.75467,-0.33117,1.18242,0.52792,0.49587
ARE,0.0,0.76317,0.692,0.86767,0.91575,0.53933,0.48208,0.30942,0.8885,0.30742,0.65517,0.62958,0.78975,0.62117,0.014,0.65508,0.76642,0.51033,0.33592,1.13575,1.12817,0.49225,0.29217,0.54408,0.565,0.47575,0.44067,1.43842,0.93933,0.96967,1.17058,1.00442,0.19692,0.23925,0.26933,0.59325,0.73683,0.96383,1.00975,0.45475,1.12958,0.56658,0.15358,0.93992,1.26692,0.85583,1.18875,0.99017,2.16208,2.16792,1.74725,1.87908,1.9275,2.09783,1.9735,1.86242,1.85358,2.02558,1.5545,1.99717,2.54083,2.07492,2.29533,2.24013
ARG,0.0,0.04183,0.12125,0.17967,-0.30367,-0.60392,-0.77367,-0.13883,0.14833,-0.44083,0.19858,0.17783,0.05733,0.05208,-0.36383,0.1145,-0.11708,0.25467,0.40183,0.46775,0.40025,-0.14392,0.02333,-0.19717,-0.15742,0.14458,-0.35483,0.55617,0.391,0.17958,0.43183,0.37233,0.46167,0.15925,-0.39425,0.53117,0.53967,0.39242,0.04125,0.74792,0.36,0.3025,-0.05592,0.30358,0.78358,0.35475,0.4165,0.82558,0.46667,0.26983,-0.04458,0.57533,0.38867,0.72325,0.64708,0.31775,0.766,-0.167,0.68092,0.73933,0.28375,0.54458,0.89392,-0.33796
ARM,0.0,0.52858,0.997,0.15575,0.72392,1.75517,-0.44767,0.75933,0.75725,-0.2455,1.06025,1.269,1.76908,1.06,-0.15533,0.28308,2.628,-0.12592,0.69358,0.01783,1.63358,0.89242,-0.42383,-0.00583,0.10133,0.78,0.13208,0.47908,0.83467,1.93342,1.14558,1.59242,0.06133,0.78758,0.85475,0.96175,1.09383,0.78367,0.41308,1.57283,1.04508,1.15958,-0.59833,-0.44333,0.80825,1.67917,1.60617,1.03333,2.23542,2.118,1.70517,2.23042,1.392,1.21008,1.50717,1.52242,1.8405,1.32225,1.49375,1.62908,3.2965,0.923,2.13775,3.13075
ASM,0.0,0.16958,0.54367,0.42917,0.346,0.19067,-0.05325,0.24283,0.398,0.27175,0.24542,0.09708,0.10758,0.33758,0.07558,-0.13883,0.30208,-0.09967,-0.03925,0.4165,0.24058,-0.11783,0.29225,0.61817,0.07117,0.25308,0.201,0.26675,0.16392,0.37125,0.47067,0.22542,0.38267,0.40858,0.35942,0.42983,0.46025,0.37867,0.56933,0.23258,0.63617,0.65108,0.55192,0.29633,0.46625,0.74858,0.59258,0.43567,0.90475,0.54708,0.69975,0.7075,1.01783,0.74475,0.76108,0.85342,0.56117,0.93233,0.475,0.51417,0.93333,0.48942,0.68133,0.99717
ATG,0.0,0.48542,0.66192,0.81117,0.40925,0.54792,0.3745,0.62542,1.04408,0.84983,0.91025,0.67858,0.68442,0.83883,0.65675,0.36933,0.53933,0.29033,0.36458,0.82958,0.68625,0.33908,0.49767,0.82092,0.28767,0.28308,0.21533,0.79958,0.80917,0.60333,1.06608,1.00533,0.62867,1.02692,0.56642,0.56583,0.65692,1.16825,0.90067,0.63417,0.88233,0.84333,0.84242,0.90383,0.89375,1.328,0.89,1.237,1.54942,1.07942,0.83975,1.2015,1.30942,1.4615,1.09883,1.54583,1.41408,1.45675,0.91308,1.225,1.68308,1.24383,1.38117,1.19729
AUS,0.0,0.23408,0.16408,0.15167,0.23575,0.24017,-0.31692,0.57975,0.67433,0.77525,-0.11242,0.64133,0.48,0.37492,0.32783,0.76917,0.03808,0.3025,0.13925,0.52467,0.45283,0.33142,0.68917,1.08983,-0.08483,0.36975,-0.1295,0.56958,0.28225,0.92942,1.26325,0.84117,0.58758,0.93817,0.194,0.7205,0.77033,0.7495,1.30717,0.53992,1.03283,1.1645,0.60967,0.83725,0.70733,0.63225,1.00242,0.76308,1.34192,0.74158,0.38675,0.46983,1.13792,1.11742,0.964,1.57392,0.9415,1.16383,0.903,1.36767,0.75525,0.44408,0.70158,0.81996
AUT,0.0,0.04408,-0.84042,-0.24683,-1.33125,-1.16625,-1.84075,-0.34075,-0.46725,-0.187,-0.50867,0.14983,-1.59475,-1.38483,-0.83242,-1.39867,-0.16233,-0.19758,-0.6565,-1.03542,-1.10092,-0.58642,-0.78592,-0.82225,-0.14433,-0.13775,-0.61967,-0.11975,-1.24892,-0.63175,-1.40217,-0.53217,-0.11717,0.15133,-0.97392,-1.11275,-0.71883,-0.86625,0.04642,0.33667,0.30825,-0.67783,0.57983,-0.17708,1.12917,-0.18925,-1.1725,-0.01067,0.187,0.1985,1.04917,0.15317,0.8795,0.47358,-0.12967,-0.42625,0.24183,0.94075,0.76617,0.58025,-0.38667,0.81983,0.57558,1.01938
AZE,0.0,0.4395,0.7845,0.1785,0.58617,1.534,-0.36225,0.7625,0.75558,-0.38,0.84667,1.40067,1.60833,0.89633,-0.08883,0.31175,2.3115,0.11833,0.80458,-0.43483,1.36942,1.09725,-0.25225,0.18592,0.18958,1.1185,0.05067,0.43642,0.60917,1.59742,0.90967,1.49933,0.0435,0.964,0.45475,0.71975,0.98092,0.62842,0.69892,1.55375,1.10067,1.06467,-0.17,-0.36525,0.58158,1.84025,1.31092,1.00308,2.06742,1.96042,1.74067,2.20592,1.54092,1.09342,1.72817,1.79592,1.82092,1.6235,1.47417,1.72033,3.07133,0.91733,2.19542,3.28254
BDI,0.0,-0.13942,0.23617,0.14508,0.0175,-0.08133,-0.32525,0.06133,0.34167,0.111,-0.01817,0.0905,-0.22983,-0.26467,-0.04717,0.03275,0.07417,-0.10458,-0.1175,0.32042,0.01192,-0.38392,0.21717,0.29142,-0.103,-0.115,0.049,0.37642,0.271,0.33325,0.534,0.36825,0.32733,0.80275,0.26642,0.23658,0.34658,0.92675,0.59583,-0.03208,0.36633,0.19533,0.52525,0.44033,0.496,0.78133,0.35275,0.74125,0.7705,0.271,0.55283,0.46733,0.70683,0.88833,0.91742,1.39917,1.02333,0.53792,0.52492,0.72125,1.02575,0.50292,0.71125,0.81975
BEL,0.0,0.08592,-0.33408,0.27317,-0.55558,-0.618,-1.31075,0.28558,-0.11983,0.86492,0.15958,0.60667,-1.28767,-1.5695,-0.235,-0.78875,0.07242,0.22742,-0.41683,-0.27867,-0.33017,0.002,-0.49583,-0.07033,0.24375,0.24275,0.53883,0.13192,-0.59692,-0.77058,-0.53183,-0.20208,0.50083,0.46533,-0.17967,-1.03367,-0.56517,-0.76067,0.62783,1.092,1.10617,-0.12,0.66008,0.09667,1.16758,0.86758,-0.936,0.64325,0.54,1.10508,1.20508,0.71417,1.20658,1.04108,0.62342,0.89867,1.26608,1.31633,0.67575,0.79933,-0.46742,1.47617,0.52267,0.23096
BEN,0.0,0.256,0.10992,0.02442,-0.21208,-0.29467,-0.21133,-0.07392,0.18883,0.14542,0.04225,-0.21767,-0.13325,0.237,-0.11542,-0.11508,0.08175,-0.18567,0.01392,0.41233,0.36317,-0.00292,0.19958,0.7255,-0.06242,-0.211,-0.20075,0.3,0.08208,0.39892,0.40258,0.30158,0.13375,0.568,0.38375,0.3425,0.18417,1.04583,0.43058,-0.00133,0.63208,0.21917,0.06883,0.43617,0.17383,0.45442,0.54217,0.38025,0.92683,0.51867,0.47592,0.51408,0.65775,0.80283,0.71025,0.99158,0.98258,0.90875,0.52917,0.99433,1.16383,0.89942,0.59008,0.99887
BFA,0.0,0.47542,0.20825,0.22817,0.13625,0.04767,0.20583,0.17833,0.72033,0.60883,0.36033,0.04575,0.203,0.58925,0.25208,0.12,0.43125,0.14667,0.35117,0.96083,0.72917,0.45675,0.56083,1.04842,0.24442,0.13142,-0.00092,0.57783,0.67392,0.71058,0.99508,0.63375,0.32108,0.94333,0.85692,0.66508,0.52608,1.39208,0.664,0.4265,1.03458,0.68767,0.36025,0.84933,0.26758,0.69783,0.96733,0.79742,1.22117,0.67942,0.81967,0.96042,1.20642,1.11175,1.21742,1.46658,1.1485,1.2115,0.71783,1.31125,1.517,1.28892,0.85825,1.61375
BGD,0.0,0.26183,0.13883,0.34942,0.18908,0.07983,-0.02508,0.23167,0.78717,-0.03142,0.46392,0.04942,0.01258,0.08525,0.28425,0.01817,0.464,-0.02792,-0.07983,0.234,0.16625,-0.38517,0.1235,0.24525,0.01917,0.12358,0.18183,0.02625,0.01867,0.69075,0.32033,-0.0685,0.12375,0.0495,0.04508,0.40108,0.27392,0.62208,0.68933,0.28442,0.26142,0.11483,0.10192,-0.01717,0.24133,0.3955,0.41992,-0.16108,0.50383,0.6945,0.12983,0.31667,0.36,0.2605,0.366,0.51167,0.74533,0.32342,0.36917,0.88458,0.92,0.18475,0.51325,0.94717
BGR,0.0,0.02075,0.05375,-1.13075,-1.35283,-0.58583,-1.74517,-0.53992,-0.104,-1.31508,-0.21667,-0.32383,-0.41258,-0.893,-1.13267,-1.18583,0.20325,-0.79692,-0.4565,-1.10025,-0.53017,-0.90192,-0.7675,-1.20142,-0.87725,-0.43992,-1.58125,-0.41475,-1.20892,-0.45333,-1.4275,-0.70967,-0.85075,-0.64625,-0.71842,-1.19417,-0.76692,-1.04292,-0.70617,-0.36283,0.13292,-1.28408,-0.443,-0.75133,0.73567,-0.65508,-1.03625,-1.23942,-0.36583,0.32375,0.44208,0.15908,0.21558,-0.51175,-0.22308,-0.68317,-0.34717,0.84925,0.523,0.42925,0.30158,-0.41692,0.56283,1.94712
BHR,0.0,0.82542,0.72092,0.63042,0.94833,0.62717,0.257,0.26958,0.82558,-0.1375,0.8285,0.2795,1.05417,0.7935,-0.00692,0.85617,1.1615,0.03983,0.48392,1.14792,0.89658,0.35317,-0.02742,0.56317,0.48375,0.39983,0.27683,1.11267,0.83158,1.37008,1.11933,1.14433,0.07883,0.15317,0.52342,0.76417,0.88758,1.20375,1.19,0.5845,0.90658,0.37392,-0.26033,0.72792,1.29575,0.81942,1.3895,0.75292,2.17442,2.30442,1.63275,1.993,1.82842,1.93267,1.71225,1.54517,1.78325,1.77808,1.59508,1.87233,2.63167,1.66583,2.09133,2.48738
