level_0,index,ISO Code,dt,CO2,population,delta,AverageTemperature,footprint
0,0,ABW,1960,,54211.0,0.76508,28.25358333333333,
1,1,ABW,1961,,55438.0,0.58433,28.07283333333333,
2,2,ABW,1962,,56225.0,0.7975,28.285999999999998,
3,3,ABW,1963,,56695.0,0.82875,28.31725,
4,4,ABW,1964,,57032.0,0.58792,28.076416666666667,
5,5,ABW,1965,,57360.0,0.55825,28.046750000000007,
6,6,ABW,1966,,57715.0,0.75267,28.24116666666667,
7,7,ABW,1967,,58055.0,0.46625,27.95475,
8,8,ABW,1968,,58386.0,0.62583,28.11433333333333,
9,9,ABW,1969,,58726.0,1.1425,28.631,
10,10,ABW,1970,,59063.0,0.88083,28.36933333333333,
11,11,ABW,1971,,59440.0,0.4015,27.89,
12,12,ABW,1972,,59840.0,0.86383,28.35233333333333,
13,13,ABW,1973,,60243.0,0.84333,28.33183333333333,
14,14,ABW,1974,,60528.0,0.21175,27.70025,
15,15,ABW,1975,,60657.0,0.45475,27.943250000000006,
16,16,ABW,1976,,60586.0,0.32158,27.81008333333333,
17,17,ABW,1977,,60366.0,0.96592,28.45441666666667,
18,18,ABW,1978,,60103.0,0.90308,28.39158333333333,
19,19,ABW,1979,,59980.0,0.94383,28.432333333333336,
20,20,ABW,1980,,60096.0,1.13842,28.62691666666667,
21,21,ABW,1981,,60567.0,0.95975,28.44825,
22,22,ABW,1982,,61345.0,0.758,28.246500000000008,
23,23,ABW,1983,,62201.0,1.1985,28.686999999999998,
24,24,ABW,1984,,62836.0,0.70967,28.198166666666665,
25,25,ABW,1985,,63026.0,0.39717,27.88566666666667,
26,26,ABW,1986,2.8683193921205543,62644.0,0.50083,27.98933333333333,
27,27,ABW,1987,7.235198033412579,61833.0,1.37092,28.85941666666666,
28,28,ABW,1988,10.026179210530623,61079.0,0.86142,28.34991666666667,
29,29,ABW,1989,10.634732599292175,61032.0,0.64608,28.13458333333333,
30,30,ABW,1990,26.374503210027513,62149.0,0.75483,28.243333333333325,
31,31,ABW,1991,26.046129800996564,64622.0,0.85458,28.34308333333333,
32,32,ABW,1992,21.44255880413278,68235.0,1.01025,28.498750000000005,
33,33,ABW,1993,22.00078616352201,72504.0,1.10067,28.58916666666667,
34,34,ABW,1994,21.036245110821383,76700.0,0.99375,28.48225,
35,35,ABW,1995,20.77193615855784,80324.0,1.24792,28.73641666666667,
36,36,ABW,1996,20.318353365384617,83200.0,0.99108,28.479583333333334,
37,37,ABW,1997,20.426817708394285,85451.0,1.27483,28.763333333333332,
38,38,ABW,1998,20.587669145364757,87277.0,1.494,28.9825,
39,39,ABW,1999,20.311566765912026,89005.0,0.70942,28.19791666666667,
40,40,ABW,2000,26.194875238021858,90853.0,0.6395,28.128,
41,41,ABW,2001,25.934024413873278,92898.0,1.14242,28.630916666666664,
42,42,ABW,2002,25.671161782044802,94992.0,1.36075,28.84925,
43,43,ABW,2003,26.42045208571694,97017.0,1.36117,28.84966666666666,
44,44,ABW,2004,26.517293415842083,98737.0,1.0175,28.506,
45,45,ABW,2005,27.20070778058802,100031.0,1.28375,28.77225,
46,46,ABW,2006,26.948260472865755,100832.0,1.31617,28.804666666666666,
47,47,ABW,2007,27.89557399723375,101220.0,1.33433,28.82283333333333,
48,48,ABW,2008,26.230846644894573,101353.0,0.96175,28.45025,
49,49,ABW,2009,25.91583294727608,101453.0,1.3435,28.832000000000004,
50,50,ABW,2010,24.67052887310783,101669.0,1.47983,28.96833333333333,
51,51,ABW,2011,24.505835203276725,102053.0,1.02483,28.513333333333332,
52,52,ABW,2012,13.155541690632402,102577.0,1.16383,28.65233333333333,
53,53,ABW,2013,8.35129425218293,103187.0,1.05275,28.54125,654717.960097036
54,54,AFG,1960,0.04605989695155291,8996351.0,0.94192,13.985416666666667,
55,55,AFG,1961,0.053604303547031426,9166764.0,1.02142,14.064916666666667,10590135.481705
56,56,AFG,1962,0.07376479102850586,9345868.0,0.72517,13.768666666666665,10416352.9521385
57,57,AFG,1963,0.07423268457137511,9533954.0,1.98992,15.033416666666666,10966030.5153384
58,58,AFG,1964,0.08629245179579713,9731361.0,0.04142,13.084916666666668,11436747.1950682
59,59,AFG,1965,0.10146739711185306,9938414.0,1.05833,14.101833333333332,12034441.7244085
60,60,AFG,1966,0.1076369554932754,10152331.0,1.2995,14.342999999999998,11645870.7304029
61,61,AFG,1967,0.12373428918220357,10372630.0,0.61975,13.663250000000005,12266953.6662004
62,62,AFG,1968,0.11549774026611354,10604346.0,0.71883,13.762333333333332,12444286.419115199
63,63,AFG,1969,0.0868234604347645,10854428.0,0.76158,13.805083333333334,12625257.006980801
64,64,AFG,1970,0.1502906268427915,11126123.0,1.73958,14.78308333333333,12416595.5984436
65,65,AFG,1971,0.16604204390941357,11417825.0,1.78,14.8235,12460598.2443627
66,66,AFG,1972,0.13076384966993518,11721940.0,-0.49633,12.547166666666667,11659696.3590471
67,67,AFG,1973,0.1362797853177408,12027822.0,1.192,14.235500000000005,12073904.435371
68,68,AFG,1974,0.1556494435233385,12321541.0,0.27325,13.31675,12718896.078276401
69,69,AFG,1975,0.16892864864229454,12590286.0,0.50458,13.548083333333333,13377069.5245366
70,70,AFG,1976,0.15478720550043265,12840299.0,0.66508,13.708583333333333,13385965.6693514
71,71,AFG,1977,0.18296361564052846,13067538.0,1.76192,14.805416666666668,13379561.0375938
72,72,AFG,1978,0.16315957096584655,13237734.0,1.28617,14.329666666666668,13290065.1893935
73,73,AFG,1979,0.1683766705406564,13306695.0,1.21858,14.262083333333335,13341434.8664056
74,74,AFG,1980,0.1328586082665264,13248370.0,1.84383,14.887333333333332,12866448.744791199
75,75,AFG,1981,0.1519728811668863,13053954.0,1.81658,14.860083333333336,12727695.110900698
76,76,AFG,1982,0.16480388277477528,12749645.0,0.68958,13.733083333333335,12539682.044402199
77,77,AFG,1983,0.2036355817280261,12389269.0,1.57133,14.614833333333335,11936390.8936906
78,78,AFG,1984,0.23498771282585085,12047115.0,1.20233,14.245833333333332,11247255.4071532
79,79,AFG,1985,0.29782772711649363,11783050.0,1.84525,14.888749999999995,10271366.6744893
80,80,AFG,1986,0.270891120891651,11601041.0,1.17967,14.223166666666666,9677322.7754803
81,81,AFG,1987,0.2716116591486166,11502761.0,1.9405,14.983999999999995,10572756.142138
82,82,AFG,1988,0.2484725612101946,11540888.0,2.3455,15.388999999999998,9829030.56401375
83,83,AFG,1989,0.23569461339733727,11777609.0,1.08225,14.125750000000002,10035907.2619924
84,84,AFG,1990,0.21344980543082542,12249114.0,1.94983,14.993333333333332,9507314.23814076
85,85,AFG,1991,0.18767272369895555,12993657.0,1.32725,14.37075,9241170.32418065
86,86,AFG,1992,0.09966647428971025,13981231.0,1.01258,14.056083333333332,9417477.26595481
87,87,AFG,1993,0.08915403602189029,15095099.0,1.39575,14.439249999999996,9621225.06856282
88,88,AFG,1994,0.08003916966590467,16172719.0,1.71125,14.75475,9951974.93574099
89,89,AFG,1995,0.07269861805062487,17099541.0,1.81567,14.859166666666667,10438220.7439471
90,90,AFG,1996,0.06604469848987403,17822884.0,1.3825,14.426000000000002,11263575.2047771
91,91,AFG,1997,0.05964838217337387,18381605.0,1.8605,14.904000000000002,12169292.4802183
92,92,AFG,1998,0.055207170017343626,18863999.0,2.089,15.1325,12816765.383240301
93,93,AFG,1999,0.04233259718416243,19403676.0,2.34525,15.38875,13338610.161286
94,94,AFG,2000,0.03850633997944436,20093756.0,2.45433,15.497833333333334,12309319.4768034
95,95,AFG,2001,0.039002334346999776,20966463.0,2.73458,15.778083333333333,11807217.559359401
96,96,AFG,2002,0.04871554827557857,21979923.0,2.49417,15.537666666666668,14264736.5733038
97,97,AFG,2003,0.05182959993975248,23064851.0,1.8725,14.916000000000002,15017256.657401599
98,98,AFG,2004,0.03937782772645559,24118979.0,2.72742,15.77091666666667,13984960.5853606
99,99,AFG,2005,0.052948214891285074,25070798.0,1.9365,14.98,16277844.6273335
100,100,AFG,2006,0.06372847187223024,25893450.0,2.55208,15.595583333333332,15812705.328531303
101,101,AFG,2007,0.08541750636214912,26616792.0,2.06267,15.106166666666667,17216389.0084181
102,102,AFG,2008,0.15410142239524824,27294031.0,2.173,15.216500000000002,17398883.095175102
103,103,AFG,2009,0.24172268210942086,28004331.0,2.21425,15.257749999999994,20868574.0167032
104,104,AFG,2010,0.29383699368892313,28803167.0,2.78517,15.828666666666667,22059784.0432659
105,105,AFG,2011,0.4120169382608718,29708599.0,2.4745,15.517999999999999,22329504.5593721
106,106,AFG,2012,0.3503705806940219,30696958.0,1.43808,14.481583333333333,26497045.176807698
107,107,AFG,2013,0.3156017732179895,31731688.0,3.49013,16.533625,27270736.4938003
108,108,AGO,1960,0.09747160378665795,5643182.0,0.35525,21.92708333333333,
109,109,AGO,1961,0.0790380850140726,5753024.0,0.36692,21.93875,4492603.31208587
110,110,AGO,1962,0.20128907626429385,5866061.0,0.27683,21.84866666666667,4871679.36249931
111,111,AGO,1963,0.19253473461800408,5980417.0,0.26592,21.837750000000003,4856450.60487928
112,112,AGO,1964,0.20100336089301712,6093321.0,0.11458,21.68641666666667,5569680.01394921
113,113,AGO,1965,0.19152841093102232,6203299.0,0.24808,21.81991666666667,5450597.49552942
114,114,AGO,1966,0.24641278525207733,6309770.0,0.53142,22.103250000000006,6356009.82670883
115,115,AGO,1967,0.15491157826311633,6414995.0,0.20458,21.776416666666666,6078755.66419099
116,116,AGO,1968,0.2563159978607531,6523791.0,0.17633,21.748166666666666,6020561.95955681
117,117,AGO,1969,0.4195505636922232,6642632.0,0.61867,22.1905,6707868.9864131
118,118,AGO,1970,0.528697987908295,6776381.0,0.578,22.14983333333333,7861318.364832901
119,119,AGO,1971,0.4923022333909654,6927269.0,0.26517,21.837,7799963.33573569
120,120,AGO,1972,0.635214721020957,7094834.0,0.43917,22.01100000000001,8528400.48291003
121,121,AGO,1973,0.670624323299386,7277960.0,0.77783,22.34966666666667,7633011.36542233
122,122,AGO,1974,0.6520233631393175,7474338.0,0.05167,21.6235,7836599.76415243
123,123,AGO,1975,0.5746931426691827,7682479.0,0.16708,21.738916666666668,7502016.75092781
