dt,CO2,population,AverageTemperature,delta
1960,2.0856006642473632,15363585.224489795,18.985930134680135,0.0
1961,2.2370982368422276,15569486.326530613,19.028266414141413,0.042336279461277826
1962,2.349578444120091,15836158.173469387,18.8180744949495,-0.16785563973063589
1963,3.0155765047245917,16163985.306122448,18.812124158249173,-0.17380597643096252
1964,3.164053304891744,16494755.07142857,18.68010016835017,-0.3058299663299664
1965,3.303722367443754,16832422.265306123,18.63023063973063,-0.3556994949495049
1966,3.286382916698856,17186143.704081632,19.00286658249158,0.016936447811445987
1967,3.3445365215724414,17538172.13265306,18.734772727272734,-0.2511574074074012
1968,3.574265068884523,17894362.403061226,18.711148148148137,-0.27478198653199826
1969,4.330111636978421,18271957.234693877,18.862383838383842,-0.12354629629629343
1970,4.237402440634892,18653820.469387755,18.910077861952864,-0.07585227272727124
1971,4.560173776780112,19046145.93367347,18.69515572390572,-0.29077441077441435
1972,4.555884811792505,19434945.714285713,18.773203282828284,-0.21272685185185125
1973,4.892493266826191,19819803.76020408,18.97066919191919,-0.01526094276094625
1974,4.585198763973549,20207984.5,18.72537962962963,-0.2605505050505066
1975,4.470391766629308,20587315.32142857,18.856342171717174,-0.1295879629629617
1976,4.472563374873639,20956477.08163265,18.561476851851854,-0.42445328282828143
1977,4.607247759851545,21324441.525510203,19.029792929292938,0.04386279461280296
1978,4.516324064776461,21698585.612244897,18.823240740740744,-0.16268939393939164
1979,4.638935556975157,22082046.586734693,19.046302188552186,0.06037205387205091
1980,4.547106303036336,22468990.69387755,18.94704797979799,-0.038882154882145414
1981,4.171434212515418,22864291.93877551,19.00886153198653,0.02293139730639382
1982,4.019348663738657,23274669.270408165,18.95210521885522,-0.033824915824915536
1983,3.8103181128553474,23688536.658163264,19.19188173400674,0.20595159932660323
1984,3.954326689725668,24101252.55612245,18.85210058922558,-0.1338295454545566
1985,4.0369850740639315,24522491.93877551,18.813446127946122,-0.1724840067340132
1986,4.011361662721529,24957565.61734694,18.921581649831648,-0.06434848484848743
1987,4.005271860450114,25404174.07142857,19.169531144781143,0.1836010101010075
1988,4.094947133516129,25855587.10714286,19.228874158249155,0.24294402356902012
1989,4.237917494548587,26307904.719387755,19.151306397306392,0.16537626262625693
1990,4.196134202890403,26534070.7020202,19.423310606060596,0.437380471380461
1991,4.226666510580544,26973053.398989897,19.110152777777788,0.12422264309765296
1992,4.615914344247411,27535316.182741117,19.065333754208755,0.07940361952861963
1993,4.654992784795047,27965414.634517767,19.026902777777778,0.0409726430976427
1994,4.572052109626089,28389723.157360405,19.376391414141423,0.39046127946128806
1995,4.6382001751144015,28673326.09090909,19.372053030303036,0.3861228956229006
1996,4.649069753147113,29089594.217171717,19.05617718855219,0.07024705387205543
1997,4.649923420343931,29505491.464646466,19.349650252525244,0.3637201178451086
1998,4.639902138605633,29916601.54040404,19.705858585858586,0.7199284511784505
1999,4.619445339520078,30323197.055555556,19.49815909090909,0.5122289562289559
2000,4.7583644341965075,30724928.191919193,19.47186658249159,0.4859364478114543
2001,4.822450339547211,31124200.727272727,19.538218013468004,0.5522878787878689
2002,4.795803364856679,31521734.448903397,19.68149116161616,0.6955610269360264
2003,4.939750347242421,31920579.408580437,19.63288888888889,0.6469587542087538
2004,4.963699343283894,32322679.045410972,19.52805471380472,0.5421245791245859
2005,5.00051730483851,32727590.415373567,19.583406986531987,0.5974768518518516
2006,5.080532087758332,33135885.679217104,19.622795875420877,0.6368657407407419
2007,5.047453458618338,33547075.52520671,19.726654040404032,0.7407239057238968
2008,5.043588676590428,33964941.88028047,19.545752104377105,0.5598219696969693
2009,4.821657343595475,34383609.69752627,19.671282407407418,0.6853522727272825
2010,4.936637576421229,34802242.2695062,19.764944444444446,0.7790143097643103
2011,4.869976000119296,35214631.577564724,19.550135101010103,0.5642049663299673
2012,4.9950734230465,35796570.11714332,19.568600168350176,0.5826700336700412
2013,4.919319694823643,36227030.982792296,20.019309553872056,1.0333794191919203
